timestamp,name,total_mib,used_mib,gpu_util_percent
2026/08/12 15:42:31.846, NVIDIA RTX 6000D, 85651, 0, 0
2026/08/12 15:42:32.944, NVIDIA RTX 6000D, 85651, 3, 0
2026/08/12 15:42:34.020, NVIDIA RTX 6000D, 85651, 3, 0
2026/08/12 15:42:35.065, NVIDIA RTX 6000D, 85651, 481, 0
2026/08/12 15:42:36.134, NVIDIA RTX 6000D, 85651, 481, 0
2026/08/12 15:42:37.219, NVIDIA RTX 6000D, 85651, 513, 0
2026/08/12 15:42:38.291, NVIDIA RTX 6000D, 85651, 577, 1
2026/08/12 15:42:39.338, NVIDIA RTX 6000D, 85651, 577, 0
2026/08/12 15:42:40.409, NVIDIA RTX 6000D, 85651, 577, 0
2026/08/12 15:42:41.454, NVIDIA RTX 6000D, 85651, 577, 0
2026/08/12 15:42:42.528, NVIDIA RTX 6000D, 85651, 343, 0
2026/08/12 15:42:43.622, NVIDIA RTX 6000D, 85651, 343, 0
2026/08/12 15:42:44.679, NVIDIA RTX 6000D, 85651, 343, 0
2026/08/12 15:42:45.743, NVIDIA RTX 6000D, 85651, 343, 0
2026/08/12 15:42:46.815, NVIDIA RTX 6000D, 85651, 343, 0
2026/08/12 15:42:47.842, NVIDIA RTX 6000D, 85651, 343, 0
2026/08/12 15:42:48.934, NVIDIA RTX 6000D, 85651, 343, 0
2026/08/12 15:42:49.962, NVIDIA RTX 6000D, 85651, 343, 0
2026/08/12 15:42:51.047, NVIDIA RTX 6000D, 85651, 343, 0
2026/08/12 15:42:52.114, NVIDIA RTX 6000D, 85651, 343, 0
2026/08/12 15:42:53.159, NVIDIA RTX 6000D, 85651, 343, 0
2026/08/12 15:42:54.225, NVIDIA RTX 6000D, 85651, 353, 0
2026/08/12 15:42:55.276, NVIDIA RTX 6000D, 85651, 353, 0
