episode_index,init_state_id,seed,model_call_index,control_step,latency_ms
6,36,1036,6,60,159.61170196533203
6,36,1036,7,70,161.21839685365558
6,36,1036,8,80,160.3974630124867
6,36,1036,9,90,160.30553821474314
6,36,1036,10,100,160.52022902294993
6,36,1036,11,110,160.39760503917933
6,36,1036,12,120,207.3787497356534
6,36,1036,13,130,209.995461627841
6,36,1036,14,140,167.40203835070133
6,36,1036,15,150,160.19320581108332
6,36,1036,16,160,199.98113391920924
6,36,1036,17,170,159.88496877253056
6,36,1036,18,180,160.26913095265627
6,36,1036,19,190,203.20220617577434
6,36,1036,20,200,211.2613976933062
6,36,1036,21,210,195.3174788504839
6,36,1036,22,220,160.6081393547356
6,36,1036,23,230,161.3166769966483
6,36,1036,24,240,159.7597640939057
6,36,1036,25,250,160.25108098983765
6,36,1036,26,260,160.44134786352515
6,36,1036,27,270,160.22628359496593
6,36,1036,28,280,160.16793064773083
6,36,1036,29,290,160.15049302950501
7,37,1037,0,0,160.07693810388446
7,37,1037,1,10,160.3204943239689
7,37,1037,2,20,160.11864505708218
7,37,1037,3,30,159.9790807813406
7,37,1037,4,40,159.8176578991115
7,37,1037,5,50,210.24146303534508
7,37,1037,6,60,210.76067257672548
7,37,1037,7,70,166.17561969906092
7,37,1037,8,80,159.79383513331413
7,37,1037,9,90,159.3490168452263
7,37,1037,10,100,159.89671787247062
7,37,1037,11,110,159.7476596944034
7,37,1037,12,120,158.97776233032346
7,37,1037,13,130,159.18878093361855
7,37,1037,14,140,199.0405861288309
7,37,1037,15,150,210.4108789935708
7,37,1037,16,160,215.0522950105369
7,37,1037,17,170,210.58178693056107
7,37,1037,18,180,219.15182610973716
7,37,1037,19,190,219.3407006561756
7,37,1037,20,200,210.0180652923882
7,37,1037,21,210,213.88193080201745
7,37,1037,22,220,158.3546781912446
7,37,1037,23,230,218.00133632496
7,37,1037,24,240,209.83144687488675
7,37,1037,25,250,217.6485350355506
7,37,1037,26,260,210.18877113237977
8,38,1038,0,0,161.13500483334064
8,38,1038,1,10,211.69031085446477
8,38,1038,2,20,160.88296892121434
8,38,1038,3,30,160.29639495536685
8,38,1038,4,40,212.40068413317204
8,38,1038,5,50,161.0288880765438
8,38,1038,6,60,161.38752829283476
8,38,1038,7,70,159.68795912340283
8,38,1038,8,80,159.4822909682989
8,38,1038,9,90,158.73708622530103
8,38,1038,10,100,207.34156714752316
8,38,1038,11,110,219.04273191466928
8,38,1038,12,120,160.57507693767548
8,38,1038,13,130,159.86152598634362
8,38,1038,14,140,158.91637187451124
8,38,1038,15,150,159.33987824246287
8,38,1038,16,160,159.54454289749265
8,38,1038,17,170,159.59360217675567
8,38,1038,18,180,159.41855311393738
8,38,1038,19,190,160.58517061173916
8,38,1038,20,200,212.60001882910728
8,38,1038,21,210,190.11069182306528
8,38,1038,22,220,160.49221018329263
8,38,1038,23,230,158.51671434938908
8,38,1038,24,240,158.71918108314276
8,38,1038,25,250,159.13914795964956
8,38,1038,26,260,159.28465593606234
9,39,1039,0,0,161.16964584216475
9,39,1039,1,10,159.3406400643289
9,39,1039,2,20,158.67755794897676
9,39,1039,3,30,159.52247474342585
9,39,1039,4,40,160.12829169631004
9,39,1039,5,50,208.20368127897382
9,39,1039,6,60,209.33531178161502
9,39,1039,7,70,183.80435882136226
9,39,1039,8,80,158.83516008034348
9,39,1039,9,90,159.89704616367817
9,39,1039,10,100,160.12325091287494
9,39,1039,11,110,159.12492107599974
9,39,1039,12,120,159.02375802397728
9,39,1039,13,130,159.73287401720881
9,39,1039,14,140,159.64909689500928
9,39,1039,15,150,159.33852596208453
9,39,1039,16,160,194.17900079861283
9,39,1039,17,170,159.65909091755748
9,39,1039,18,180,159.31794606149197
9,39,1039,19,190,160.57701036334038
9,39,1039,20,200,162.04054281115532
9,39,1039,21,210,159.29748816415668
9,39,1039,22,220,159.78805674239993
9,39,1039,23,230,159.60233006626368
9,39,1039,24,240,159.25409086048603
9,39,1039,25,250,159.25275860354304
9,39,1039,26,260,173.22166776284575
9,39,1039,27,270,159.78786861523986
9,39,1039,28,280,199.00313578546047
9,39,1039,29,290,200.08935499936342
9,39,1039,30,300,188.63204820081592
