timestamp,name,total_mib,used_mib,gpu_util_percent
2026/08/12 19:05:50.396, NVIDIA RTX 6000D, 85651, 0, 0
2026/08/12 19:05:50.478, NVIDIA RTX 6000D, 85651, 0, 0
2026/08/12 19:05:51.452, NVIDIA RTX 6000D, 85651, 496, 0
2026/08/12 19:05:51.552, NVIDIA RTX 6000D, 85651, 518, 0
2026/08/12 19:05:52.492, NVIDIA RTX 6000D, 85651, 738, 0
2026/08/12 19:05:52.643, NVIDIA RTX 6000D, 85651, 738, 0
2026/08/12 19:05:53.558, NVIDIA RTX 6000D, 85651, 738, 0
2026/08/12 19:05:53.689, NVIDIA RTX 6000D, 85651, 738, 0
2026/08/12 19:05:54.644, NVIDIA RTX 6000D, 85651, 738, 0
2026/08/12 19:05:54.758, NVIDIA RTX 6000D, 85651, 738, 0
2026/08/12 19:05:55.735, NVIDIA RTX 6000D, 85651, 770, 0
2026/08/12 19:05:55.830, NVIDIA RTX 6000D, 85651, 770, 0
2026/08/12 19:05:56.820, NVIDIA RTX 6000D, 85651, 670, 1
2026/08/12 19:05:56.918, NVIDIA RTX 6000D, 85651, 646, 1
2026/08/12 19:05:57.892, NVIDIA RTX 6000D, 85651, 1142, 1
2026/08/12 19:05:57.983, NVIDIA RTX 6000D, 85651, 2535, 1
2026/08/12 19:05:58.990, NVIDIA RTX 6000D, 85651, 2622, 0
2026/08/12 19:05:59.072, NVIDIA RTX 6000D, 85651, 2622, 0
2026/08/12 19:06:00.049, NVIDIA RTX 6000D, 85651, 2622, 0
2026/08/12 19:06:00.135, NVIDIA RTX 6000D, 85651, 2622, 0
2026/08/12 19:06:01.132, NVIDIA RTX 6000D, 85651, 2622, 3
2026/08/12 19:06:01.196, NVIDIA RTX 6000D, 85651, 2622, 0
2026/08/12 19:06:02.185, NVIDIA RTX 6000D, 85651, 2622, 0
2026/08/12 19:06:02.279, NVIDIA RTX 6000D, 85651, 2622, 0
2026/08/12 19:06:03.271, NVIDIA RTX 6000D, 85651, 2622, 0
2026/08/12 19:06:03.342, NVIDIA RTX 6000D, 85651, 2622, 0
2026/08/12 19:06:04.360, NVIDIA RTX 6000D, 85651, 2622, 0
2026/08/12 19:06:04.431, NVIDIA RTX 6000D, 85651, 2622, 0
2026/08/12 19:06:05.424, NVIDIA RTX 6000D, 85651, 2638, 0
2026/08/12 19:06:05.496, NVIDIA RTX 6000D, 85651, 2638, 0
2026/08/12 19:06:06.469, NVIDIA RTX 6000D, 85651, 3064, 67
2026/08/12 19:06:06.559, NVIDIA RTX 6000D, 85651, 3064, 67
2026/08/12 19:06:07.514, NVIDIA RTX 6000D, 85651, 3253, 35
2026/08/12 19:06:07.625, NVIDIA RTX 6000D, 85651, 3177, 33
2026/08/12 19:06:08.559, NVIDIA RTX 6000D, 85651, 3285, 29
2026/08/12 19:06:08.676, NVIDIA RTX 6000D, 85651, 3285, 35
2026/08/12 19:06:09.606, NVIDIA RTX 6000D, 85651, 3285, 40
2026/08/12 19:06:09.722, NVIDIA RTX 6000D, 85651, 3253, 40
2026/08/12 19:06:10.672, NVIDIA RTX 6000D, 85651, 3132, 0
2026/08/12 19:06:10.894, NVIDIA RTX 6000D, 85651, 4, 0
2026/08/12 19:06:11.977, NVIDIA RTX 6000D, 85651, 0, 0
2026/08/12 19:06:13.079, NVIDIA RTX 6000D, 85651, 0, 0
2026/08/12 19:06:14.192, NVIDIA RTX 6000D, 85651, 0, 0
2026/08/12 19:06:15.286, NVIDIA RTX 6000D, 85651, 0, 0
2026/08/12 19:06:16.356, NVIDIA RTX 6000D, 85651, 0, 0
2026/08/12 19:06:17.420, NVIDIA RTX 6000D, 85651, 0, 0
2026/08/12 19:06:18.468, NVIDIA RTX 6000D, 85651, 0, 0
