episode_index,seed,model_call_index,control_step,latency_ms
2,1002,7,70,161.73375118523836
2,1002,8,80,161.75650712102652
2,1002,9,90,161.9290360249579
2,1002,10,100,162.07345994189382
2,1002,11,110,161.5266129374504
2,1002,12,120,162.03396022319794
2,1002,13,130,163.11422269791365
2,1002,14,140,161.99328610673547
2,1002,15,150,161.84675507247448
2,1002,16,160,160.65352223813534
2,1002,17,170,162.08089515566826
2,1002,18,180,162.7410240471363
2,1002,19,190,162.10747975856066
2,1002,20,200,161.46684205159545
2,1002,21,210,161.02527221664786
2,1002,22,220,185.46535121276975
2,1002,23,230,218.8935480080545
3,1003,0,0,164.16076431050897
3,1003,1,10,162.96729585155845
3,1003,2,20,212.59193122386932
3,1003,3,30,164.97760079801083
3,1003,4,40,162.49316884204745
3,1003,5,50,161.43231000751257
3,1003,6,60,162.45767986401916
3,1003,7,70,162.1238524094224
3,1003,8,80,162.30692574754357
3,1003,9,90,162.58093994110823
3,1003,10,100,161.84796439483762
3,1003,11,110,162.50645415857434
3,1003,12,120,201.8805230036378
3,1003,13,130,198.85423500090837
3,1003,14,140,162.96432819217443
3,1003,15,150,162.5644820742309
3,1003,16,160,162.83329669386148
3,1003,17,170,162.63127932325006
3,1003,18,180,161.7146823555231
3,1003,19,190,162.72363113239408
3,1003,20,200,162.07246808335185
3,1003,21,210,162.14747028425336
3,1003,22,220,162.9854622296989
3,1003,23,230,163.47699612379074
3,1003,24,240,162.84913569688797
3,1003,25,250,162.61978913098574
3,1003,26,260,193.30574106425047
3,1003,27,270,161.74114728346467
3,1003,28,280,161.94017138332129
3,1003,29,290,162.7139039337635
3,1003,30,300,162.68390184268355
3,1003,31,310,162.7223831601441
3,1003,32,320,161.66523192077875
3,1003,33,330,162.53242315724492
3,1003,34,340,162.11955389007926
3,1003,35,350,162.67914604395628
3,1003,36,360,162.2964651323855
4,1004,0,0,163.44810416921973
4,1004,1,10,196.60035194829106
4,1004,2,20,162.08686772733927
4,1004,3,30,163.27678691595793
4,1004,4,40,162.71302802488208
4,1004,5,50,163.07738004252315
4,1004,6,60,162.40346198901534
4,1004,7,70,162.80909534543753
4,1004,8,80,162.6071040518582
4,1004,9,90,162.599494215101
4,1004,10,100,162.32184320688248
4,1004,11,110,161.86933731660247
4,1004,12,120,162.27308195084333
4,1004,13,130,161.97184287011623
4,1004,14,140,200.3112151287496
4,1004,15,150,162.54386492073536
4,1004,16,160,166.62916261702776
4,1004,17,170,162.60919533669949
4,1004,18,180,164.24011997878551
4,1004,19,190,162.08710009232163
4,1004,20,200,162.50419383868575
4,1004,21,210,163.2623183541
4,1004,22,220,162.40641893818974
4,1004,23,230,164.1927338205278
4,1004,24,240,162.247100379318
4,1004,25,250,162.59215399622917
4,1004,26,260,162.84461878240108
4,1004,27,270,162.69657900556922
4,1004,28,280,162.86076186224818
4,1004,29,290,161.88576072454453
4,1004,30,300,163.29758893698454
4,1004,31,310,162.44398290291429
5,1005,0,0,163.1285804323852
5,1005,1,10,215.78216925263405
5,1005,2,20,161.8308019824326
5,1005,3,30,161.73838265240192
5,1005,4,40,205.75478114187717
5,1005,5,50,167.48464200645685
5,1005,6,60,162.3275582678616
5,1005,7,70,161.74955712631345
5,1005,8,80,211.7071133106947
5,1005,9,90,185.92428928241134
5,1005,10,100,161.44409822300076
5,1005,11,110,163.09635201469064
5,1005,12,120,206.83945110067725
