timestamp_utc,index,name,memory_used_mib,memory_total_mib,utilization_gpu_percent,power_draw_watts,temperature_c
2026-08-11T04:58:37Z,0, NVIDIA RTX 6000D, 3, 85651, 0, 30.70, 31
2026-08-11T04:58:38Z,0, NVIDIA RTX 6000D, 3, 85651, 0, 30.45, 31
2026-08-11T04:58:39Z,0, NVIDIA RTX 6000D, 3, 85651, 0, 29.87, 31
2026-08-11T04:58:40Z,0, NVIDIA RTX 6000D, 3, 85651, 0, 29.87, 31
2026-08-11T04:58:41Z,0, NVIDIA RTX 6000D, 3, 85651, 0, 30.37, 31
2026-08-11T04:58:42Z,0, NVIDIA RTX 6000D, 3, 85651, 0, 30.47, 31
2026-08-11T04:58:43Z,0, NVIDIA RTX 6000D, 3, 85651, 0, 29.97, 31
2026-08-11T04:58:45Z,0, NVIDIA RTX 6000D, 3, 85651, 0, 30.37, 31
2026-08-11T04:58:46Z,0, NVIDIA RTX 6000D, 3, 85651, 0, 30.37, 31
2026-08-11T04:58:47Z,0, NVIDIA RTX 6000D, 3, 85651, 0, 30.97, 31
2026-08-11T04:58:48Z,0, NVIDIA RTX 6000D, 3, 85651, 0, 31.43, 31
2026-08-11T04:58:49Z,0, NVIDIA RTX 6000D, 3, 85651, 0, 30.66, 31
2026-08-11T04:58:50Z,0, NVIDIA RTX 6000D, 3, 85651, 0, 29.89, 31
2026-08-11T04:58:51Z,0, NVIDIA RTX 6000D, 3, 85651, 0, 30.38, 31
2026-08-11T04:58:52Z,0, NVIDIA RTX 6000D, 3, 85651, 0, 30.37, 31
2026-08-11T04:58:53Z,0, NVIDIA RTX 6000D, 3, 85651, 0, 29.89, 31
2026-08-11T04:58:54Z,0, NVIDIA RTX 6000D, 3, 85651, 0, 30.19, 31
2026-08-11T04:58:56Z,0, NVIDIA RTX 6000D, 3, 85651, 0, 30.38, 31
2026-08-11T04:58:57Z,0, NVIDIA RTX 6000D, 3, 85651, 0, 30.38, 31
2026-08-11T04:58:58Z,0, NVIDIA RTX 6000D, 3, 85651, 0, 29.97, 31
2026-08-11T04:58:59Z,0, NVIDIA RTX 6000D, 3, 85651, 0, 29.89, 32
2026-08-11T04:59:00Z,0, NVIDIA RTX 6000D, 3, 85651, 0, 29.93, 32
2026-08-11T04:59:01Z,0, NVIDIA RTX 6000D, 3, 85651, 0, 30.47, 32
2026-08-11T04:59:02Z,0, NVIDIA RTX 6000D, 3, 85651, 0, 30.42, 32
2026-08-11T04:59:03Z,0, NVIDIA RTX 6000D, 3, 85651, 0, 31.45, 32
2026-08-11T04:59:04Z,0, NVIDIA RTX 6000D, 3, 85651, 0, 31.20, 32
2026-08-11T04:59:06Z,0, NVIDIA RTX 6000D, 3, 85651, 0, 30.37, 32
2026-08-11T04:59:08Z,0, NVIDIA RTX 6000D, 3, 85651, 0, 30.46, 32
2026-08-11T04:59:09Z,0, NVIDIA RTX 6000D, 6529, 85651, 7, 76.24, 33
2026-08-11T04:59:10Z,0, NVIDIA RTX 6000D, 9619, 85651, 0, 82.22, 33
2026-08-11T04:59:11Z,0, NVIDIA RTX 6000D, 9619, 85651, 3, 82.39, 34
2026-08-11T04:59:12Z,0, NVIDIA RTX 6000D, 9619, 85651, 3, 81.15, 34
2026-08-11T04:59:13Z,0, NVIDIA RTX 6000D, 9619, 85651, 3, 81.21, 34
2026-08-11T04:59:15Z,0, NVIDIA RTX 6000D, 9619, 85651, 2, 81.81, 34
2026-08-11T04:59:16Z,0, NVIDIA RTX 6000D, 9619, 85651, 0, 81.12, 34
2026-08-11T04:59:17Z,0, NVIDIA RTX 6000D, 9619, 85651, 0, 81.00, 34
