timestamp_utc,index,name,memory_used_mib,memory_total_mib,utilization_gpu_percent,power_draw_watts,temperature_c
2026-08-11T05:37:17Z,0, NVIDIA RTX 6000D, 13919, 85651, 97, 253.71, 47
2026-08-11T05:37:19Z,0, NVIDIA RTX 6000D, 13919, 85651, 91, 265.99, 49
2026-08-11T05:37:21Z,0, NVIDIA RTX 6000D, 13919, 85651, 94, 273.17, 50
2026-08-11T05:37:23Z,0, NVIDIA RTX 6000D, 13919, 85651, 85, 269.66, 49
2026-08-11T05:37:25Z,0, NVIDIA RTX 6000D, 13919, 85651, 6, 265.12, 46
2026-08-11T05:37:27Z,0, NVIDIA RTX 6000D, 13919, 85651, 84, 287.42, 51
2026-08-11T05:37:29Z,0, NVIDIA RTX 6000D, 13919, 85651, 90, 276.07, 53
2026-08-11T05:37:31Z,0, NVIDIA RTX 6000D, 13919, 85651, 88, 252.42, 52
2026-08-11T05:37:33Z,0, NVIDIA RTX 6000D, 13919, 85651, 80, 280.51, 53
2026-08-11T05:37:36Z,0, NVIDIA RTX 6000D, 13919, 85651, 100, 278.93, 52
2026-08-11T05:37:38Z,0, NVIDIA RTX 6000D, 13919, 85651, 100, 248.08, 52
2026-08-11T05:37:40Z,0, NVIDIA RTX 6000D, 13919, 85651, 1, 238.42, 51
2026-08-11T05:37:42Z,0, NVIDIA RTX 6000D, 13919, 85651, 87, 271.62, 55
2026-08-11T05:37:44Z,0, NVIDIA RTX 6000D, 13919, 85651, 90, 276.40, 55
2026-08-11T05:37:46Z,0, NVIDIA RTX 6000D, 13919, 85651, 93, 254.37, 53
2026-08-11T05:37:48Z,0, NVIDIA RTX 6000D, 13919, 85651, 87, 284.59, 55
2026-08-11T05:37:50Z,0, NVIDIA RTX 6000D, 13919, 85651, 89, 271.25, 55
2026-08-11T05:37:52Z,0, NVIDIA RTX 6000D, 13919, 85651, 83, 268.06, 57
2026-08-11T05:37:54Z,0, NVIDIA RTX 6000D, 13919, 85651, 100, 246.53, 57
2026-08-11T05:37:56Z,0, NVIDIA RTX 6000D, 13919, 85651, 100, 276.92, 57
2026-08-11T05:37:58Z,0, NVIDIA RTX 6000D, 13919, 85651, 77, 282.94, 59
2026-08-11T05:38:00Z,0, NVIDIA RTX 6000D, 13919, 85651, 80, 268.59, 60
2026-08-11T05:38:03Z,0, NVIDIA RTX 6000D, 13919, 85651, 64, 263.48, 61
2026-08-11T05:38:05Z,0, NVIDIA RTX 6000D, 13919, 85651, 100, 293.26, 61
2026-08-11T05:38:07Z,0, NVIDIA RTX 6000D, 13919, 85651, 83, 295.00, 62
2026-08-11T05:38:09Z,0, NVIDIA RTX 6000D, 13919, 85651, 84, 256.56, 62
2026-08-11T05:38:11Z,0, NVIDIA RTX 6000D, 13919, 85651, 80, 295.09, 62
2026-08-11T05:38:13Z,0, NVIDIA RTX 6000D, 13919, 85651, 94, 305.43, 61
2026-08-11T05:38:15Z,0, NVIDIA RTX 6000D, 13919, 85651, 84, 298.70, 61
2026-08-11T05:38:17Z,0, NVIDIA RTX 6000D, 13919, 85651, 88, 265.63, 59
2026-08-11T05:38:19Z,0, NVIDIA RTX 6000D, 13919, 85651, 87, 291.53, 60
