timestamp,name,total_mib,used_mib,util_percent
2026/08/12 21:10:53.802, NVIDIA RTX 6000D, 85651, 3, 0
2026/08/12 21:10:54.868, NVIDIA RTX 6000D, 85651, 3, 0
2026/08/12 21:10:55.974, NVIDIA RTX 6000D, 85651, 3, 0
2026/08/12 21:10:57.059, NVIDIA RTX 6000D, 85651, 3, 0
2026/08/12 21:10:58.197, NVIDIA RTX 6000D, 85651, 3, 0
2026/08/12 21:10:59.394, NVIDIA RTX 6000D, 85651, 3, 0
2026/08/12 21:11:00.593, NVIDIA RTX 6000D, 85651, 3, 0
2026/08/12 21:11:01.892, NVIDIA RTX 6000D, 85651, 3, 0
2026/08/12 21:11:03.033, NVIDIA RTX 6000D, 85651, 4303, 5
2026/08/12 21:11:04.113, NVIDIA RTX 6000D, 85651, 9619, 0
2026/08/12 21:11:05.138, NVIDIA RTX 6000D, 85651, 9619, 13
2026/08/12 21:11:06.186, NVIDIA RTX 6000D, 85651, 9619, 0
2026/08/12 21:11:07.229, NVIDIA RTX 6000D, 85651, 9619, 0
2026/08/12 21:11:08.277, NVIDIA RTX 6000D, 85651, 10116, 1
2026/08/12 21:11:09.321, NVIDIA RTX 6000D, 85651, 10353, 0
2026/08/12 21:11:10.385, NVIDIA RTX 6000D, 85651, 10353, 0
2026/08/12 21:11:11.431, NVIDIA RTX 6000D, 85651, 10353, 0
2026/08/12 21:11:12.474, NVIDIA RTX 6000D, 85651, 10385, 0
2026/08/12 21:11:13.536, NVIDIA RTX 6000D, 85651, 10252, 1
2026/08/12 21:11:14.560, NVIDIA RTX 6000D, 85651, 12229, 0
2026/08/12 21:11:15.624, NVIDIA RTX 6000D, 85651, 12237, 0
2026/08/12 21:11:16.664, NVIDIA RTX 6000D, 85651, 12237, 0
2026/08/12 21:11:17.749, NVIDIA RTX 6000D, 85651, 12237, 0
2026/08/12 21:11:18.812, NVIDIA RTX 6000D, 85651, 12237, 0
2026/08/12 21:11:19.857, NVIDIA RTX 6000D, 85651, 12253, 0
2026/08/12 21:11:20.922, NVIDIA RTX 6000D, 85651, 12253, 0
2026/08/12 21:11:21.967, NVIDIA RTX 6000D, 85651, 12856, 13
2026/08/12 21:11:22.993, NVIDIA RTX 6000D, 85651, 13016, 1
2026/08/12 21:11:24.033, NVIDIA RTX 6000D, 85651, 13292, 20
2026/08/12 21:11:25.129, NVIDIA RTX 6000D, 85651, 13212, 20
2026/08/12 21:11:26.173, NVIDIA RTX 6000D, 85651, 13216, 20
2026/08/12 21:11:27.217, NVIDIA RTX 6000D, 85651, 13212, 26
2026/08/12 21:11:28.260, NVIDIA RTX 6000D, 85651, 13292, 21
2026/08/12 21:11:29.321, NVIDIA RTX 6000D, 85651, 13288, 23
2026/08/12 21:11:30.367, NVIDIA RTX 6000D, 85651, 13292, 22
2026/08/12 21:11:31.454, NVIDIA RTX 6000D, 85651, 13292, 23
2026/08/12 21:11:32.537, NVIDIA RTX 6000D, 85651, 13292, 20
2026/08/12 21:11:33.584, NVIDIA RTX 6000D, 85651, 13273, 23
2026/08/12 21:11:34.649, NVIDIA RTX 6000D, 85651, 13288, 20
2026/08/12 21:11:35.696, NVIDIA RTX 6000D, 85651, 10014, 1
