timestamp,name,total_mib,used_mib,util_percent
2026/08/12 21:04:28.610, NVIDIA RTX 6000D, 85651, 0, 0
2026/08/12 21:04:29.722, NVIDIA RTX 6000D, 85651, 0, 0
2026/08/12 21:04:30.771, NVIDIA RTX 6000D, 85651, 0, 0
2026/08/12 21:04:31.838, NVIDIA RTX 6000D, 85651, 0, 0
2026/08/12 21:04:32.886, NVIDIA RTX 6000D, 85651, 3, 0
2026/08/12 21:04:33.959, NVIDIA RTX 6000D, 85651, 3, 0
2026/08/12 21:04:35.028, NVIDIA RTX 6000D, 85651, 3, 0
2026/08/12 21:04:36.215, NVIDIA RTX 6000D, 85651, 3, 0
2026/08/12 21:04:37.375, NVIDIA RTX 6000D, 85651, 3, 0
2026/08/12 21:04:38.490, NVIDIA RTX 6000D, 85651, 3, 0
2026/08/12 21:04:39.559, NVIDIA RTX 6000D, 85651, 3, 0
2026/08/12 21:04:40.643, NVIDIA RTX 6000D, 85651, 3, 0
2026/08/12 21:04:41.731, NVIDIA RTX 6000D, 85651, 3, 0
2026/08/12 21:04:42.799, NVIDIA RTX 6000D, 85651, 3, 0
2026/08/12 21:04:43.882, NVIDIA RTX 6000D, 85651, 3, 0
2026/08/12 21:04:44.967, NVIDIA RTX 6000D, 85651, 3, 0
2026/08/12 21:04:46.031, NVIDIA RTX 6000D, 85651, 3, 0
2026/08/12 21:04:47.095, NVIDIA RTX 6000D, 85651, 3, 0
2026/08/12 21:04:48.199, NVIDIA RTX 6000D, 85651, 3, 0
2026/08/12 21:04:49.264, NVIDIA RTX 6000D, 85651, 3, 0
2026/08/12 21:04:50.331, NVIDIA RTX 6000D, 85651, 3, 0
2026/08/12 21:04:51.435, NVIDIA RTX 6000D, 85651, 3, 0
2026/08/12 21:04:52.499, NVIDIA RTX 6000D, 85651, 3, 0
2026/08/12 21:04:53.569, NVIDIA RTX 6000D, 85651, 3, 0
2026/08/12 21:04:54.655, NVIDIA RTX 6000D, 85651, 3, 0
2026/08/12 21:04:55.738, NVIDIA RTX 6000D, 85651, 3, 0
2026/08/12 21:04:56.803, NVIDIA RTX 6000D, 85651, 3, 0
2026/08/12 21:04:57.867, NVIDIA RTX 6000D, 85651, 3, 0
2026/08/12 21:04:58.949, NVIDIA RTX 6000D, 85651, 3, 0
2026/08/12 21:05:00.016, NVIDIA RTX 6000D, 85651, 3, 0
2026/08/12 21:05:01.083, NVIDIA RTX 6000D, 85651, 3, 0
2026/08/12 21:05:02.195, NVIDIA RTX 6000D, 85651, 3, 0
2026/08/12 21:05:03.295, NVIDIA RTX 6000D, 85651, 3, 0
2026/08/12 21:05:04.494, NVIDIA RTX 6000D, 85651, 3, 0
2026/08/12 21:05:05.594, NVIDIA RTX 6000D, 85651, 3, 0
2026/08/12 21:05:06.719, NVIDIA RTX 6000D, 85651, 3, 0
2026/08/12 21:05:07.852, NVIDIA RTX 6000D, 85651, 3, 0
2026/08/12 21:05:08.920, NVIDIA RTX 6000D, 85651, 3, 0
2026/08/12 21:05:09.987, NVIDIA RTX 6000D, 85651, 3, 0
2026/08/12 21:05:11.056, NVIDIA RTX 6000D, 85651, 3, 0
2026/08/12 21:05:12.120, NVIDIA RTX 6000D, 85651, 3, 0
2026/08/12 21:05:13.182, NVIDIA RTX 6000D, 85651, 3, 0
2026/08/12 21:05:14.247, NVIDIA RTX 6000D, 85651, 3, 0
2026/08/12 21:05:15.310, NVIDIA RTX 6000D, 85651, 3, 0
