episode_index,seed,model_call_index,control_step,latency_ms
0,1000,0,0,552.0471259951591
0,1000,1,10,200.51624812185764
0,1000,2,20,160.43043369427323
0,1000,3,30,191.70998502522707
0,1000,4,40,160.5135821737349
0,1000,5,50,205.06018307060003
0,1000,6,60,160.88708909228444
0,1000,7,70,160.86845006793737
0,1000,8,80,203.4651217982173
0,1000,9,90,161.5534871816635
0,1000,10,100,160.6105430983007
0,1000,11,110,161.7304659448564
0,1000,12,120,161.69418394565582
0,1000,13,130,161.37485671788454
0,1000,14,140,161.18041705340147
0,1000,15,150,159.41255632787943
0,1000,16,160,203.59697472304106
0,1000,17,170,179.0234358049929
0,1000,18,180,161.56727308407426
0,1000,19,190,193.4862518683076
0,1000,20,200,160.38579400628805
0,1000,21,210,160.02508532255888
0,1000,22,220,161.27488063648343
0,1000,23,230,200.43012779206038
0,1000,24,240,159.8763521760702
0,1000,25,250,160.7695478014648
0,1000,26,260,160.27992917224765
0,1000,27,270,160.74725799262524
0,1000,28,280,159.8058589734137
0,1000,29,290,195.24147920310497
0,1000,30,300,161.24111087992787
0,1000,31,310,193.99507204070687
1,1001,0,0,160.52917623892426
1,1001,1,10,160.32353276386857
1,1001,2,20,209.39847500994802
1,1001,3,30,160.36833496764302
1,1001,4,40,159.9194649606943
1,1001,5,50,205.86684485897422
1,1001,6,60,161.34911682456732
1,1001,7,70,160.0760449655354
1,1001,8,80,160.5426473543048
1,1001,9,90,160.78021004796028
1,1001,10,100,197.06643326207995
1,1001,11,110,190.19675394520164
1,1001,12,120,160.485930275172
1,1001,13,130,161.21826600283384
1,1001,14,140,160.04992788657546
1,1001,15,150,161.1938471905887
1,1001,16,160,159.60893919691443
1,1001,17,170,160.88966373354197
1,1001,18,180,199.80323035269976
1,1001,19,190,160.21810192614794
1,1001,20,200,160.52638227120042
1,1001,21,210,160.67289467900991
1,1001,22,220,160.63869697973132
1,1001,23,230,160.53125401958823
1,1001,24,240,159.931770991534
1,1001,25,250,161.2131460569799
1,1001,26,260,161.77842486649752
1,1001,27,270,159.95990298688412
2,1002,0,0,160.68338602781296
2,1002,1,10,159.5893115736544
2,1002,2,20,159.77692510932684
2,1002,3,30,199.91595624014735
2,1002,4,40,160.28762282803655
2,1002,5,50,161.06478916481137
2,1002,6,60,160.32781219109893
2,1002,7,70,161.87087073922157
2,1002,8,80,160.46413173899055
2,1002,9,90,160.3406802751124
2,1002,10,100,194.35445498675108
2,1002,11,110,165.75584886595607
2,1002,12,120,162.5905567780137
2,1002,13,130,160.83507612347603
2,1002,14,140,160.44305777177215
2,1002,15,150,160.80252919346094
2,1002,16,160,207.40543771535158
2,1002,17,170,199.2658218368888
2,1002,18,180,160.01411620527506
2,1002,19,190,160.6022622436285
2,1002,20,200,201.0933542624116
2,1002,21,210,248.9345818758011
2,1002,22,220,160.5730839073658
3,1003,0,0,161.4888091571629
3,1003,1,10,159.8392128944397
3,1003,2,20,160.62655812129378
3,1003,3,30,160.03130190074444
3,1003,4,40,202.28528371080756
3,1003,5,50,159.784902818501
3,1003,6,60,160.1810078136623
3,1003,7,70,160.4273091070354
3,1003,8,80,160.41206195950508
3,1003,9,90,161.1405210569501
3,1003,10,100,160.26785597205162
3,1003,11,110,161.43489303067327
3,1003,12,120,160.69670394062996
3,1003,13,130,160.54749814793468
3,1003,14,140,160.70556780323386
3,1003,15,150,211.90775465220213
3,1003,16,160,160.24988517165184
3,1003,17,170,161.42140980809927
3,1003,18,180,228.5698177292943
3,1003,19,190,219.76425871253014
3,1003,20,200,161.78955370560288
3,1003,21,210,208.6904770694673
3,1003,22,220,161.44921397790313
3,1003,23,230,161.40743996948004
3,1003,24,240,160.70237290114164
3,1003,25,250,160.7246519997716
3,1003,26,260,160.72179470211267
3,1003,27,270,161.18827695026994
4,1004,0,0,162.08387073129416
4,1004,1,10,160.3026231750846
4,1004,2,20,160.9558849595487
4,1004,3,30,200.31127892434597
4,1004,4,40,159.7783137112856
4,1004,5,50,160.405564121902
4,1004,6,60,192.88876606151462
4,1004,7,70,194.76564414799213
4,1004,8,80,160.24553729221225
4,1004,9,90,159.8659590817988
4,1004,10,100,160.6573648750782
4,1004,11,110,160.82246508449316
4,1004,12,120,160.22602375596762
4,1004,13,130,160.22436507046223
4,1004,14,140,160.16897093504667
4,1004,15,150,160.8050069771707
4,1004,16,160,163.45493216067553
4,1004,17,170,208.0651237629354
4,1004,18,180,160.03418434411287
4,1004,19,190,160.55742697790265
4,1004,20,200,161.07350075617433
4,1004,21,210,160.76651494950056
4,1004,22,220,159.04627507552505
4,1004,23,230,160.0998928770423
4,1004,24,240,159.89169524982572
4,1004,25,250,204.65894229710102
4,1004,26,260,207.4603191576898
4,1004,27,270,160.42955499142408
4,1004,28,280,160.40897089987993
4,1004,29,290,160.30826093629003
4,1004,30,300,159.83459912240505
4,1004,31,310,209.8495881073177
4,1004,32,320,160.10145004838705
4,1004,33,330,160.19461816176772
4,1004,34,340,159.86874094232917
4,1004,35,350,161.46169789135456
4,1004,36,360,215.55284783244133
4,1004,37,370,160.43513687327504
4,1004,38,380,160.10680701583624
4,1004,39,390,206.78281225264072
4,1004,40,400,160.36825580522418
4,1004,41,410,184.63476607576013
4,1004,42,420,160.60139331966639
4,1004,43,430,160.25746101513505
4,1004,44,440,160.56727385148406
4,1004,45,450,200.2466358244419
4,1004,46,460,160.0883360952139
4,1004,47,470,160.32528085634112
4,1004,48,480,160.60158470645547
4,1004,49,490,160.92774085700512
4,1004,50,500,159.52663170173764
4,1004,51,510,160.1491179317236
5,1005,0,0,162.5757459551096
5,1005,1,10,161.35935205966234
5,1005,2,20,160.75355606153607
5,1005,3,30,201.7919779755175
5,1005,4,40,160.66563874483109
5,1005,5,50,163.50071597844362
5,1005,6,60,161.7185133509338
5,1005,7,70,160.78798426315188
5,1005,8,80,189.40383894369006
5,1005,9,90,186.33224768564105
5,1005,10,100,202.87231914699078
5,1005,11,110,160.74171289801598
5,1005,12,120,161.24744899570942
5,1005,13,130,161.2310316413641
5,1005,14,140,161.3281280733645
5,1005,15,150,161.91599471494555
5,1005,16,160,213.0220839753747
5,1005,17,170,161.84308379888535
5,1005,18,180,161.43182339146733
5,1005,19,190,161.89285600557923
5,1005,20,200,161.97274904698133
5,1005,21,210,161.58804297447205
5,1005,22,220,160.93680495396256
5,1005,23,230,160.95612198114395
5,1005,24,240,162.0584991760552
6,1006,0,0,161.44521813839674
6,1006,1,10,160.1263890042901
6,1006,2,20,211.89568238332868
6,1006,3,30,160.18032422289252
6,1006,4,40,160.3598278015852
6,1006,5,50,159.97701277956367
6,1006,6,60,209.8589730449021
6,1006,7,70,163.72977104038
6,1006,8,80,161.07484931126237
6,1006,9,90,161.00929817184806
6,1006,10,100,160.99814279004931
6,1006,11,110,161.31402924656868
6,1006,12,120,161.0824423842132
6,1006,13,130,190.08372630923986
6,1006,14,140,188.0626706406474
6,1006,15,150,160.6293679215014
6,1006,16,160,191.8461350724101
6,1006,17,170,160.23324616253376
6,1006,18,180,160.811479203403
6,1006,19,190,160.70549981668591
6,1006,20,200,192.19728466123343
6,1006,21,210,160.6362429447472
6,1006,22,220,160.60333233326674
6,1006,23,230,160.7321947813034
6,1006,24,240,160.21749889478087
6,1006,25,250,199.35695081949234
6,1006,26,260,159.7271808423102
6,1006,27,270,160.05902411416173
6,1006,28,280,187.9640007391572
7,1007,0,0,162.90582111105323
7,1007,1,10,162.65246970579028
7,1007,2,20,161.59569611772895
7,1007,3,30,161.75866033881903
7,1007,4,40,161.32935602217913
7,1007,5,50,186.4040968939662
7,1007,6,60,161.0892810858786
7,1007,7,70,161.51168709620833
