episode_index,seed,model_call_index,control_step,latency_ms
2,1002,28,280,206.0593836940825
2,1002,29,290,168.36720798164606
2,1002,30,300,196.83247106149793
2,1002,31,310,169.37057999894023
2,1002,32,320,169.4249650463462
2,1002,33,330,170.68816674873233
2,1002,34,340,211.28456015139818
2,1002,35,350,169.95969600975513
2,1002,36,360,170.7129506394267
2,1002,37,370,231.0146139934659
2,1002,38,380,210.41435282677412
2,1002,39,390,169.5279637351632
2,1002,40,400,169.19827787205577
2,1002,41,410,220.5795212648809
2,1002,42,420,215.1535851880908
2,1002,43,430,168.68120711296797
2,1002,44,440,168.97939797490835
2,1002,45,450,219.11939419806004
2,1002,46,460,216.7774406261742
2,1002,47,470,167.7591917105019
2,1002,48,480,171.0710539482534
2,1002,49,490,171.39837611466646
2,1002,50,500,170.68611597642303
2,1002,51,510,217.6017239689827
3,1003,0,0,182.13426414877176
3,1003,1,10,169.60666980594397
3,1003,2,20,168.6223209835589
3,1003,3,30,169.189449865371
3,1003,4,40,208.0621630884707
3,1003,5,50,169.313064776361
3,1003,6,60,169.85615296289325
3,1003,7,70,205.90304490178823
3,1003,8,80,168.89811400324106
3,1003,9,90,170.99780915305018
3,1003,10,100,217.55651477724314
3,1003,11,110,170.5207508057356
3,1003,12,120,168.8361270353198
3,1003,13,130,217.8713190369308
3,1003,14,140,169.6080402471125
3,1003,15,150,170.5839936621487
3,1003,16,160,170.54252373054624
3,1003,17,170,168.52703783661127
3,1003,18,180,212.38181786611676
3,1003,19,190,169.7207917459309
3,1003,20,200,168.578639626503
3,1003,21,210,170.0772843323648
3,1003,22,220,212.34063291922212
3,1003,23,230,198.73539311811328
3,1003,24,240,168.4619039297104
3,1003,25,250,169.31763384491205
3,1003,26,260,168.98404294624925
3,1003,27,270,169.61430804803967
3,1003,28,280,220.9037342108786
3,1003,29,290,221.983821131289
3,1003,30,300,199.8367221094668
3,1003,31,310,169.23888586461544
3,1003,32,320,168.18635677918792
3,1003,33,330,171.02237092331052
3,1003,34,340,169.30003091692924
3,1003,35,350,213.68399914354086
3,1003,36,360,218.13391940668225
3,1003,37,370,186.1040350049734
3,1003,38,380,168.65238267928362
3,1003,39,390,197.37508613616228
3,1003,40,400,169.67098880559206
3,1003,41,410,169.4101532921195
3,1003,42,420,209.31912027299404
3,1003,43,430,169.59586972370744
3,1003,44,440,169.47151208296418
3,1003,45,450,168.3312659151852
3,1003,46,460,169.11563044413924
3,1003,47,470,167.83726308494806
3,1003,48,480,222.46120404452085
3,1003,49,490,217.96781802549958
3,1003,50,500,173.86782309040427
3,1003,51,510,168.44610776752234
4,1004,0,0,181.65805283933878
4,1004,1,10,169.23899529501796
4,1004,2,20,220.7106319256127
4,1004,3,30,169.17204204946756
4,1004,4,40,168.84553199633956
4,1004,5,50,169.2678639665246
4,1004,6,60,198.81320325657725
4,1004,7,70,176.50879174470901
4,1004,8,80,170.59665312990546
4,1004,9,90,170.50249502062798
4,1004,10,100,170.27203273028135
4,1004,11,110,170.16621911898255
4,1004,12,120,169.98317139223218
4,1004,13,130,171.18832701817155
4,1004,14,140,169.8532640002668
4,1004,15,150,169.384746812284
4,1004,16,160,169.64463610202074
4,1004,17,170,213.16258376464248
4,1004,18,180,218.0283130146563
4,1004,19,190,226.93415684625506
4,1004,20,200,169.36754062771797
4,1004,21,210,169.5201499387622
4,1004,22,220,169.80305220931768
4,1004,23,230,169.63302809745073
4,1004,24,240,169.95061933994293
4,1004,25,250,169.39392406493425
4,1004,26,260,170.07837211713195
4,1004,27,270,171.14287614822388
4,1004,28,280,169.44269789382815
4,1004,29,290,170.3081508167088
4,1004,30,300,203.92939494922757
4,1004,31,310,169.60180504247546
4,1004,32,320,169.1971467807889
4,1004,33,330,200.9882852435112
4,1004,34,340,216.30906639620662
4,1004,35,350,169.78913499042392
4,1004,36,360,169.42825494334102
4,1004,37,370,169.4797370582819
4,1004,38,380,168.96076360717416
4,1004,39,390,169.8100552894175
4,1004,40,400,169.70860911533237
4,1004,41,410,169.51407585293055
4,1004,42,420,170.41075555607677
4,1004,43,430,217.97587303444743
4,1004,44,440,169.03151432052255
4,1004,45,450,170.09470285847783
4,1004,46,460,169.29893288761377
4,1004,47,470,169.33428775519133
4,1004,48,480,169.96171977370977
4,1004,49,490,170.57945812121034
4,1004,50,500,169.40545989200473
4,1004,51,510,169.6141166612506
5,1005,0,0,181.26685917377472
5,1005,1,10,169.84145296737552
5,1005,2,20,169.9458798393607
5,1005,3,30,170.25839863345027
5,1005,4,40,217.55357878282666
5,1005,5,50,170.18795432522893
5,1005,6,60,169.47889607399702
5,1005,7,70,170.2735247090459
5,1005,8,80,204.02085408568382
5,1005,9,90,169.3088999018073
5,1005,10,100,169.38257636502385
5,1005,11,110,216.11760882660747
5,1005,12,120,170.4333540983498
5,1005,13,130,172.3547070287168
5,1005,14,140,169.25063589587808
5,1005,15,150,169.7478941641748
5,1005,16,160,170.48256983980536
5,1005,17,170,169.18325191363692
5,1005,18,180,170.14664690941572
5,1005,19,190,215.31530981883407
5,1005,20,200,168.9912280999124
5,1005,21,210,170.0782934203744
5,1005,22,220,169.27843960002065
5,1005,23,230,169.95359398424625
5,1005,24,240,169.8342589661479
5,1005,25,250,169.36736507341266
5,1005,26,260,169.31771486997604
5,1005,27,270,169.17861299589276
5,1005,28,280,170.06646329537034
5,1005,29,290,168.8827439211309
5,1005,30,300,169.29922299459577
5,1005,31,310,170.26900593191385
5,1005,32,320,169.73604587838054
5,1005,33,330,169.39880093559623
5,1005,34,340,169.7274469770491
5,1005,35,350,169.76737417280674
5,1005,36,360,170.12269794940948
5,1005,37,370,170.3273607417941
5,1005,38,380,170.54094234481454
5,1005,39,390,170.59093993157148
5,1005,40,400,170.2539841644466
5,1005,41,410,171.57015996053815
5,1005,42,420,171.11857095733285
5,1005,43,430,171.23812064528465
5,1005,44,440,170.5295890569687
5,1005,45,450,170.2324510551989
5,1005,46,460,170.00695783644915
5,1005,47,470,169.67134503647685
5,1005,48,480,170.8773081190884
5,1005,49,490,170.14603409916162
5,1005,50,500,171.1721420288086
5,1005,51,510,170.06999719887972
6,1006,0,0,181.715059094131
6,1006,1,10,237.17124480754137
6,1006,2,20,210.7697487808764
6,1006,3,30,218.74500811100006
6,1006,4,40,169.93809305131435
6,1006,5,50,170.5854069441557
6,1006,6,60,169.66842813417315
6,1006,7,70,170.02897895872593
6,1006,8,80,170.33986514434218
6,1006,9,90,169.48918299749494
6,1006,10,100,169.48502603918314
6,1006,11,110,170.00509100034833
6,1006,12,120,170.28698092326522
6,1006,13,130,170.684730168432
6,1006,14,140,169.5903860963881
6,1006,15,150,169.77720195427537
6,1006,16,160,221.714299172163
6,1006,17,170,169.72537711262703
6,1006,18,180,169.78986095637083
6,1006,19,190,204.95508005842566
6,1006,20,200,214.88673612475395
6,1006,21,210,214.7060139104724
6,1006,22,220,169.68746203929186
6,1006,23,230,170.21781904622912
6,1006,24,240,170.3114085830748
6,1006,25,250,169.92394905537367
6,1006,26,260,169.67537719756365
6,1006,27,270,169.80803105980158
6,1006,28,280,170.18075101077557
6,1006,29,290,170.12100294232368
6,1006,30,300,169.6897502988577
6,1006,31,310,169.99691631644964
6,1006,32,320,170.1594851911068
6,1006,33,330,170.25496438145638
6,1006,34,340,169.45460811257362
6,1006,35,350,170.01371597871184
6,1006,36,360,169.8905061930418
6,1006,37,370,221.17089573293924
6,1006,38,380,170.7055326551199
6,1006,39,390,171.17415787652135
6,1006,40,400,223.2682122848928
6,1006,41,410,169.7410847991705
6,1006,42,420,170.05545925348997
6,1006,43,430,170.27377476915717
6,1006,44,440,170.33292213454843
6,1006,45,450,171.66771180927753
6,1006,46,460,169.5442870259285
6,1006,47,470,198.70513677597046
6,1006,48,480,227.94972406700253
6,1006,49,490,228.79702085629106
6,1006,50,500,227.34071919694543
6,1006,51,510,225.93019297346473
7,1007,0,0,195.43553469702601
7,1007,1,10,232.9138582572341
7,1007,2,20,170.79635430127382
7,1007,3,30,170.8386531099677
7,1007,4,40,170.109401922673
7,1007,5,50,170.2787452377379
7,1007,6,60,170.66106712445617
7,1007,7,70,169.4106189534068
7,1007,8,80,169.70256064087152
7,1007,9,90,220.19486408680677
7,1007,10,100,175.3282118588686
7,1007,11,110,169.98004913330078
7,1007,12,120,170.44371087104082
7,1007,13,130,169.46863988414407
7,1007,14,140,221.68693505227566
7,1007,15,150,213.71981082484126
7,1007,16,160,207.8703511506319
7,1007,17,170,169.95142679661512
7,1007,18,180,170.22994067519903
7,1007,19,190,169.3661129102111
7,1007,20,200,171.64474911987782
7,1007,21,210,170.3561502508819
7,1007,22,220,169.89560378715396
7,1007,23,230,222.1125802025199
7,1007,24,240,171.49039637297392
7,1007,25,250,169.51235430315137
7,1007,26,260,171.1693061515689
7,1007,27,270,170.06932199001312
7,1007,28,280,170.26811791583896
7,1007,29,290,170.5224229954183
7,1007,30,300,170.43097270652652
7,1007,31,310,169.50187319889665
7,1007,32,320,170.22670106962323
7,1007,33,330,170.2410657890141
7,1007,34,340,170.44372064992785
7,1007,35,350,170.402810908854
7,1007,36,360,171.20085516944528
7,1007,37,370,169.27288565784693
7,1007,38,380,221.95644676685333
7,1007,39,390,207.1278290823102
7,1007,40,400,207.687484100461
7,1007,41,410,225.89555801823735
7,1007,42,420,170.8235931582749
7,1007,43,430,169.6588508784771
7,1007,44,440,230.14827398583293
7,1007,45,450,170.2649900689721
7,1007,46,460,169.82515109702945
7,1007,47,470,170.23397330194712
7,1007,48,480,170.43115617707372
7,1007,49,490,170.08489603176713
7,1007,50,500,169.73924497142434
7,1007,51,510,170.09817017242312
8,1008,0,0,182.40528693422675
8,1008,1,10,174.32023584842682
8,1008,2,20,170.6426152959466
8,1008,3,30,223.82871201261878
8,1008,4,40,170.44175881892443
8,1008,5,50,169.94059877470136
8,1008,6,60,211.444690823555
8,1008,7,70,170.21973803639412
8,1008,8,80,169.75063318386674
8,1008,9,90,170.48148810863495
8,1008,10,100,222.48424123972654
8,1008,11,110,173.82355174049735
8,1008,12,120,170.1529286801815
8,1008,13,130,171.1069280281663
8,1008,14,140,170.1535079628229
8,1008,15,150,169.27329311147332
8,1008,16,160,172.2030802629888
8,1008,17,170,171.25931195914745
8,1008,18,180,170.53704289719462
8,1008,19,190,169.79940282180905
8,1008,20,200,169.2933072336018
8,1008,21,210,169.92442356422544
8,1008,22,220,169.35517685487866
8,1008,23,230,170.092832762748
